wall_time,frame,yaw_deg,status,n_filtered,center_count,path_count,px4_status_ok,px4_target_speed,px4_command_speed,px4_raw_yaw_deg,px4_target_yaw_deg,px4_command_yaw_deg,px4_absolute_yaw_deg,px4_velocity_x,px4_velocity_y
1775098572.166,1,0.00,"boundary count=1, need 2",0,0,0,True,0.3000,0.0375,0.0000,0.0000,0.0000,114.2727,-0.0154,0.0342
1775098572.238,2,-32.91,ok,0,46,76,False,0.3000,0.0450,0.0000,0.0000,0.0000,114.2633,-0.0185,0.0410
1775098572.355,3,-7.34,ok,0,34,64,True,0.3000,0.0675,-32.9100,-11.5185,-3.7500,110.4854,-0.0236,0.0632
1775098572.431,4,-14.28,ok,0,47,77,True,0.3000,0.0750,-7.3400,-2.5690,-2.5690,111.6611,-0.0277,0.0697
1775098572.552,5,-15.83,ok,0,43,73,True,0.3000,0.0975,-14.2800,-4.9980,-4.9980,109.2156,-0.0321,0.0921
1775098572.668,6,-13.77,ok,0,38,68,True,0.3000,0.1125,-15.8300,-5.5405,-5.5405,108.6612,-0.0360,0.1066
1775098572.788,7,2.20,ok,0,36,66,True,0.3000,0.1275,-13.7700,-4.8195,-4.8195,109.3754,-0.0423,0.1203
1775098572.863,8,-6.02,ok,0,45,75,True,0.3000,0.1425,2.2000,0.7700,-2.3195,111.8659,-0.0531,0.1322
1775098572.958,9,7.63,ok,0,36,66,True,0.3000,0.1500,-6.0200,-2.1070,-2.1070,112.0724,-0.0564,0.1390
1775098573.040,10,4.33,ok,0,42,72,True,0.3000,0.1650,7.6300,2.6705,0.3930,114.5663,-0.0686,0.1501
1775098573.110,11,9.29,ok,0,27,57,True,0.3000,0.1725,4.3300,1.5155,1.5155,115.6882,-0.0748,0.1555
1775098573.222,12,-2.64,ok,0,47,77,True,0.3000,0.1875,9.2900,3.2515,3.2515,117.4152,-0.0863,0.1664
1775098573.312,13,-7.68,ok,0,44,74,True,0.3000,0.2025,-2.6400,-0.9240,0.7515,114.9076,-0.0853,0.1837
1775098573.401,14,-14.51,ok,0,46,76,True,0.3000,0.2175,-7.6800,-2.6880,-1.7485,112.3985,-0.0829,0.2011
1775098573.529,15,-8.15,ok,0,40,70,True,0.3000,0.2325,-14.5100,-5.0785,-4.2485,109.8893,-0.0791,0.2186
1775098573.657,16,-3.69,ok,0,41,71,True,0.3000,0.2550,-8.1500,-2.8525,-2.8525,111.2675,-0.0925,0.2376
1775098573.753,17,-0.57,ok,0,40,70,True,0.3000,0.2700,-3.6900,-1.2915,-1.2915,112.8188,-0.1047,0.2489
1775098573.827,18,1.61,ok,0,41,71,True,0.3000,0.2775,-0.5700,-0.1995,-0.1995,113.9048,-0.1124,0.2537
1775098573.909,19,3.14,ok,0,37,67,True,0.3000,0.2925,1.6100,0.5635,0.5635,114.6496,-0.1220,0.2658
1775098573.995,20,12.07,ok,0,38,68,True,0.3000,0.3000,3.1400,1.0990,1.0990,115.1634,-0.1276,0.2715
1775098574.110,21,7.44,ok,0,44,74,True,0.3000,0.3000,12.0700,4.2245,3.5990,117.6410,-0.1392,0.2658
1775098574.199,22,-3.16,ok,0,48,78,True,0.3000,0.3000,7.4400,2.6040,2.6040,116.6120,-0.1344,0.2682
1775098574.279,23,0.79,ok,0,41,71,True,0.3000,0.3000,-3.1600,-1.1060,1.3540,115.3370,-0.1284,0.2711
1775098574.365,24,2.57,ok,0,41,71,True,0.3000,0.3000,0.7900,0.2765,0.2765,114.2034,-0.1230,0.2736
1775098574.477,25,-4.04,ok,0,39,69,True,0.3000,0.3000,2.5700,0.8995,0.8995,114.7575,-0.1256,0.2724
1775098574.575,26,-4.84,ok,0,43,73,True,0.3000,0.3000,-4.0400,-1.4140,-1.4140,112.3781,-0.1142,0.2774
1775098574.659,27,-9.22,ok,0,44,74,True,0.3000,0.3000,-4.8400,-1.6940,-1.6940,112.0292,-0.1125,0.2781
1775098574.770,28,7.54,ok,0,35,65,True,0.3000,0.3000,-9.2200,-3.2270,-3.2270,110.4281,-0.1047,0.2811
1775098574.846,29,-3.86,ok,0,46,76,True,0.3000,0.3000,7.5400,2.6390,-0.7270,112.8639,-0.1166,0.2764
1775098574.925,30,-11.07,ok,0,47,77,True,0.3000,0.3000,-3.8600,-1.3510,-1.3510,112.2048,-0.1134,0.2778
1775098575.059,31,-16.12,ok,0,48,78,True,0.3000,0.3000,-11.0700,-3.8745,-3.8745,109.5798,-0.1005,0.2827
1775098575.186,32,-20.89,ok,0,47,77,True,0.3000,0.3000,-16.1200,-5.6420,-5.6420,107.7440,-0.0914,0.2857
1775098575.308,33,-2.78,ok,0,34,64,True,0.3000,0.3000,-20.8900,-7.3115,-7.3115,105.9721,-0.0826,0.2884
1775098575.406,34,12.95,ok,0,35,65,True,0.3000,0.3000,-2.7800,-0.9730,-4.8115,108.4056,-0.0947,0.2847
1775098575.525,35,25.47,ok,0,34,64,True,0.3000,0.3000,12.9500,4.5325,-2.3115,110.8326,-0.1067,0.2804
1775098575.654,36,12.91,ok,0,41,71,True,0.3000,0.3000,25.4700,8.9145,1.4385,114.4841,-0.1243,0.2730
1775098575.774,37,-0.10,ok,0,43,73,True,0.3000,0.3000,12.9100,4.5185,3.9385,116.9180,-0.1358,0.2675
1775098575.845,38,10.84,ok,0,31,61,True,0.3000,0.3000,-0.1000,-0.0350,1.4385,114.3834,-0.1239,0.2732
1775098575.964,39,24.00,ok,0,36,66,True,0.3000,0.3000,10.8400,3.7940,3.7940,116.7225,-0.1349,0.2680
1775098576.080,40,11.88,ok,0,41,71,True,0.3000,0.3000,24.0000,8.4000,6.2940,119.2291,-0.1465,0.2618
1775098576.196,41,-0.05,ok,0,43,73,True,0.3000,0.3000,11.8800,4.1580,4.1580,117.1629,-0.1370,0.2669
1775098576.274,42,2.97,ok,0,38,68,True,0.3000,0.3000,-0.0500,-0.0175,2.9080,115.9524,-0.1313,0.2697
1775098576.358,43,1.07,ok,0,40,70,True,0.3000,0.3000,2.9700,1.0395,1.0395,114.1846,-0.1229,0.2737
1775098576.452,44,15.64,ok,0,39,69,True,0.3000,0.3000,1.0700,0.3745,0.3745,113.6398,-0.1203,0.2748
1775098576.574,45,6.03,ok,0,42,72,True,0.3000,0.3000,15.6400,5.4740,2.8745,116.2890,-0.1329,0.2690
1775098576.667,46,-4.15,ok,0,44,74,True,0.3000,0.3000,6.0300,2.1105,2.1105,115.6900,-0.1301,0.2703
1775098576.761,47,-7.82,ok,0,42,72,True,0.3000,0.3000,-4.1500,-1.4525,-0.3895,113.3726,-0.1190,0.2754
1775098576.837,48,-13.84,ok,0,44,74,True,0.3000,0.3000,-7.8200,-2.7370,-1.6395,112.2223,-0.1135,0.2777
1775098576.961,49,-14.61,ok,0,42,72,True,0.3000,0.3000,-13.8400,-4.8440,-4.8440,109.3357,-0.0993,0.2831
1775098577.079,50,-19.36,ok,0,44,74,True,0.3000,0.3000,-14.6100,-5.1135,-5.1135,109.2889,-0.0991,0.2832
1775098577.196,51,-22.27,ok,0,37,67,True,0.3000,0.3000,-19.3600,-6.7760,-6.7760,107.9753,-0.0926,0.2854
1775098577.310,52,-21.42,ok,0,43,73,True,0.3000,0.3000,-22.2700,-7.7945,-7.7945,107.1840,-0.0886,0.2866
1775098577.423,53,-22.56,ok,0,45,75,True,0.3000,0.3000,-21.4200,-7.4970,-7.4970,107.7020,-0.0912,0.2858
1775098577.556,54,-24.93,ok,0,45,75,True,0.3000,0.3000,-22.5600,-7.8960,-7.8960,107.6405,-0.0909,0.2859
1775098577.675,55,-24.16,ok,0,42,72,True,0.3000,0.3000,-24.9300,-8.7255,-8.7255,106.9532,-0.0875,0.2870
1775098577.786,56,-26.79,ok,0,52,82,True,0.3000,0.3000,-24.1600,-8.4560,-8.4560,107.2498,-0.0890,0.2865
1775098577.893,57,-25.13,ok,0,37,67,True,0.3000,0.3000,-26.7900,-9.3765,-9.3765,106.4178,-0.0848,0.2878
1775098577.997,58,-25.19,ok,0,47,77,True,0.3000,0.3000,-25.1300,-8.7955,-8.7955,107.0550,-0.0880,0.2868
1775098578.105,59,-24.35,ok,0,41,71,True,0.3000,0.3000,-25.1900,-8.8165,-8.8165,107.1018,-0.0882,0.2867
1775098578.204,60,0.00,"boundary count=1, need 2",0,0,0,True,0.3000,0.3000,-24.3500,-8.5225,-8.5225,107.4869,-0.0901,0.2861
1775098578.268,61,0.00,"boundary count=1, need 2",0,0,0,False,0.3000,0.3000,0.0000,0.0000,-7.2725,108.8020,-0.0967,0.2840
1775098578.351,62,-9.44,ok,0,31,61,False,0.3000,0.3000,0.0000,0.0000,-4.7725,111.4271,-0.1096,0.2793
1775098578.459,63,3.07,ok,0,29,59,True,0.3000,0.3000,-9.4400,-3.3040,-3.3040,113.0406,-0.1174,0.2761
1775098578.532,64,-4.70,ok,0,41,71,True,0.3000,0.3000,3.0700,1.0745,-2.0540,114.3936,-0.1239,0.2732
1775098578.611,65,-12.31,ok,0,45,75,True,0.3000,0.3000,-4.7000,-1.6450,-1.6450,115.0530,-0.1270,0.2718
1775098578.728,66,1.07,ok,0,31,61,True,0.3000,0.3000,-12.3100,-4.3085,-4.1450,112.8438,-0.1165,0.2765
1775098578.809,67,-2.82,ok,0,35,65,True,0.3000,0.3000,1.0700,0.3745,-1.6450,115.6521,-0.1299,0.2704
1775098578.898,68,-10.30,ok,0,43,73,True,0.3000,0.3000,-2.8200,-0.9870,-0.9870,116.6069,-0.1344,0.2682
1775098579.008,69,-16.23,ok,0,43,73,True,0.3000,0.3000,-10.3000,-3.6050,-3.4870,114.3963,-0.1239,0.2732
1775098579.113,70,-4.51,ok,0,30,60,True,0.3000,0.3000,-16.2300,-5.6805,-5.6805,112.4104,-0.1144,0.2773
1775098579.200,71,-12.45,ok,0,35,65,True,0.3000,0.3000,-4.5100,-1.5785,-3.1805,115.0703,-0.1271,0.2717
1775098579.309,72,-13.50,ok,0,30,60,True,0.3000,0.3000,-12.4500,-4.3575,-4.3575,114.0464,-0.1222,0.2740
1775098579.410,73,-18.74,ok,0,36,66,True,0.3000,0.3000,-13.5000,-4.7250,-4.7250,113.8309,-0.1212,0.2744
1775098579.516,74,-22.41,ok,0,36,66,True,0.3000,0.3000,-18.7400,-6.5590,-6.5590,112.1481,-0.1131,0.2779
1775098579.619,75,-25.59,ok,0,40,70,True,0.3000,0.3000,-22.4100,-7.8435,-7.8435,111.0138,-0.1076,0.2800
